Designator,Footprint,Quantity,Value,LCSC Part #
"12VLED1, 3V3LED6",0402,2,RED_LED,
"3V3LED1, 3V3LED4, 3V3LED8",0402,3,BLUE_LED,
3V3LED10,0402,1,PURPLE_LED,
3V3LED5,0402,1,ORANGE_LED,
3V3LED7,0402,1,YELLOW_LED,
"BOOTJUMPER1, ENJUMPER1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"C1, C15, C17, C21, C23, C31, C36, C58, C68",0402,9,10uF,
"C10, C11, C24, C3, C30, C35, C45, C5, C6, C71, C72, C76, C77, C8, C80, C84, C86, C87, C88, C89",0402,20,0.1uF,
"C12, C13",0402,2,11pF,
"C14, C32, C34, C54, C56, C59, C66, C67, C69, C83, C90",0402,11,100nF,
C16,0402,1,47nF,
"C18, C61",0603,2,10uF,
"C19, C2, C25, C37, C4, C51, C60, C7, C73, C82",0402,10,1uF,
C20,0603,1,22uF,
"C22, C26, C74",0402,3,4.7uF,
"C27, C28",CP_EIA-7360-38_Kemet-E,2,100uF,
C29,CP_Elec_6.3x7.7,1,470uF,
"C33, C38, C41, C42, C43, C44, C9",0402,7,10nF,
"C39, C52, C53, C64",0805,4,22uF,
"C40, C57, C75",1206,3,47uF,
C46,0402,1,1uF,GRT188R61H225KE13D
C47,0603,1,0.1uF,
C48,0603,1,2.2uF,
C49,0402,1,180pF,
C50,0402,1,3.9nF,
"C55, C65",0402,2,2.2uF,
C62,0402,1,120pF,
C63,0402,1,2.2nF,
C70,1206,1,22uF,
C78,0603,1,160pF,
"C79, C85",0402,2,0.01uF,
C81,0402,1,220nF,
CANRXLED1,0402,1,CANRXLED,
CANTXLED1,0402,1,CANTXLED,
D1,SOT-23,1,SM712_SOT23,
D2,SOT-143,1,SP0503BAHT,
D3,TO-277B,1,DST1550S,
D4,0603,1,RED_LED,
D6,SOT-353_SC-70-5,1,~,
D7,RCLAMP3346PQTNT,1,RCLAMP3346PQTNT,
D9,SODFL3516X70N,1,S-102T,
FIRING1,0402,1,EMERALD_LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
"IC1, IC4",IC_TPS61089RNRR,2,TPS61089RNRR,
"IC2, IC3",SOT95P282X145-5N,2,AP2205-W5-7,
J1,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,RBUS,
"J10, J4, J6, J7, J8, J9",Molex_Pico-Clasp_202396-0407_1x04-1MP_P1.00mm_Horizontal,6,1053131104,
J11,PinHeader_2x04_P2.54mm_Vertical,1,Conn_01x08_Socket,
J12,Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,1,Conn_01x02_Male,
J16,Molex_Pico-Clasp_202396-0707_1x07-1MP_P1.00mm_Horizontal,1,Conn_01x07_Socket,
J17,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,1,ServoCH1,
J18,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,1,ServoCH2,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J3,JAE_ST1W008S4TR2000,1,ST1W008S4TR2000,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
"JP10, JP12, JP13, JP14, JP17, JP18, JP19, JP20, JP23, JP24, JP25, JP28, JP29, JP3, JP30, JP33, JP5, JP6, JP7",small_3pin_SolderJP,19,SolderJumper_3_Open,
"JP11, JP15, JP16, JP21, JP22, JP26, JP27, JP31, JP32, JP4, JP8, JP9",SmallerSolderJP,12,SolderJumper_2_Open,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,0805,1,1uH,
L4,IND_SPM10065VT-3R3M-D,1,3.3uH,
"L5, L6",IND_SRP6540-390M,2,SRR6038-5R0Y,
L7,WE-XHMI_7070,1,3.3uH,
"Q5, Q6, Q7",BSZ025N04LS,3,BSZ025N04LS,
"R1, R10, R101, R13, R14, R21, R24, R25, R27, R30, R33, R38, R5, R50, R56, R76, R81, R83, R88, R9, R95",0402,21,10K,
"R100, R22, R37, R48, R55, R75, R92",0402,7,14k,
"R102, R103, R2, R3, R39, R40, R46, R47, R51, R52, R57, R58, R96, R97",0402,14,1k,
"R104, R41, R49, R53, R59, R98",0402,6,49,
"R105, R106",0402,2,2.2k,
R107,0402,1,432k,
"R109, R110",0402,2,165R,
"R11, R94",0402,2,4.7k,
"R111, R112",0402,2,100,
"R12, R4, R43, R6",0402,4,470,
R15,0402,1,0,
"R16, R17",0402,2,60.4,
"R18, R19, R20, R71",0402,4,5.1k,
R23,0402,1,56k,
R26,0402,1,130k,
"R28, R84",0402,2,2.2,
R29,0402,1,294k,
R31,0402,1,499k,
