Designator,Mid X,Mid Y,Rotation,Layer
12VLED1,215.39,-92.21,180.0,top
3V3LED1,178.45,-95.7,0.0,top
3V3LED10,164.73,-106.53,180.0,bottom
3V3LED4,165.465,-103.61,180.0,bottom
3V3LED5,164.14,-97.7,180.0,bottom
3V3LED6,165.285,-100.53,180.0,bottom
3V3LED7,161.5,-101.58,90.0,bottom
3V3LED8,140.25,-75.2175,270.0,bottom
BOOTJUMPER1,146.485,-88.65,270.0,top
C1,157.432603,-94.24,90.0,top
C10,168.62,-89.28,0.0,top
C11,158.51,-86.35,180.0,top
C12,155.342603,-87.619999,0.0,top
C13,155.372603,-91.559998,180.0,top
C14,172.77,-91.7,180.0,top
C15,172.770001,-92.628999,180.0,top
C16,181.8,-94.76,270.0,top
C17,175.176106,-80.771279,90.0,top
C18,175.820481,-83.549134,270.0,top
C19,176.096105,-80.77128,90.0,top
C2,150.99,-91.45,90.0,top
C20,180.891106,-83.36128,270.0,top
C21,182.178275,-81.110998,90.0,top
C22,182.163275,-83.190618,270.0,top
C23,190.949462,-84.125507,90.0,top
C24,191.92946,-84.138223,90.0,top
C25,197.61,-88.089999,0.0,top
C26,198.06,-85.89,90.0,top
C27,218.597999,-104.974,180.0,top
C28,209.81,-87.312499,270.0,top
C29,210.579999,-76.635,90.0,top
C3,146.386974,-94.582513,180.0,top
C30,185.52,-68.59,180.0,bottom
C31,194.535,-95.029997,180.0,top
C32,194.534999,-95.989998,180.0,top
C33,126.81,-97.54,180.0,top
C34,205.94,-87.319999,90.0,top
C35,203.66,-91.68,270.0,top
C36,192.014999,-95.625001,0.0,top
C37,141.83,-91.09,270.0,top
C38,130.970002,-87.58,270.0,top
C39,142.950001,-80.4,180.0,top
C4,158.482603,-94.24,90.0,top
C40,226.7,-104.0,270.0,top
C41,148.57,-97.48,180.0,top
C42,137.78,-97.7,0.0,top
C43,170.17,-97.6,180.0,top
C44,159.45,-97.6,0.0,top
C45,233.16,-89.1,0.0,top
C46,227.54,-87.33,270.0,top
C47,226.28,-86.24,90.0,top
C48,130.494893,-73.047289,0.0,top
C49,129.419893,-68.217289,90.0,top
C5,159.53,-94.25,90.0,top
C50,130.359892,-68.217289,90.0,top
C51,128.429894,-63.657289,270.0,top
C52,127.019892,-67.797287,0.0,top
C53,127.019893,-65.59729,0.0,top
C54,126.229892,-73.067289,0.0,top
C55,134.529893,-62.227289,90.0,top
C56,123.984892,-71.617289,90.0,top
C57,133.189893,-73.724999,90.0,top
C58,127.029893,-64.107289,0.0,top
C59,129.369893,-63.657288,270.0,top
C6,161.082603,-93.659999,180.0,top
C60,141.519892,-82.352287,90.0,top
C61,139.664892,-73.117286,180.0,top
C62,140.589893,-77.832287,270.0,top
C63,139.639892,-77.842287,270.0,top
C64,142.950001,-78.3,180.0,top
C65,135.339892,-83.692287,270.0,top
C66,143.920002,-73.15,180.0,top
C67,146.089891,-74.532287,270.0,top
C68,142.939892,-81.902287,180.0,top
C69,140.559892,-82.352287,90.0,top
C7,158.59,-92.72,180.0,top
C70,136.999892,-72.482287,270.0,top
C71,225.03,-86.19,90.0,top
C72,218.961,-86.0945,180.0,top
C73,218.41,-92.738,270.0,top
C74,220.74,-93.16,0.0,top
C75,224.35,-104.0,270.0,top
C76,214.22,-97.829998,180.0,top
C77,217.121,-86.104501,0.0,top
C78,201.48,-82.78,0.0,bottom
C79,151.789,-74.0775,0.0,top
C8,146.486974,-86.342513,180.0,top
C80,153.729,-74.1175,0.0,top
C81,136.42,-87.57,180.0,top
C82,134.63,-88.96,90.0,top
C83,218.598001,-101.061999,0.0,top
C84,135.59,-88.96,90.0,top
