Designator,Mid X,Mid Y,Rotation,Layer
12VLED1,227.29,-77.637397,90.0,top
3V3LED1,228.815,-79.037397,0.0,top
3V3LED10,204.455,-101.69,0.0,bottom
3V3LED2,213.0,-87.625,270.0,bottom
3V3LED3,196.6,-80.5075,270.0,bottom
3V3LED4,204.055,-99.08,0.0,bottom
3V3LED5,202.255,-94.92,0.0,bottom
3V3LED6,203.29,-96.81,0.0,bottom
3V3LED7,201.115,-99.04,0.0,bottom
3V3LED8,212.7,-82.0725,90.0,bottom
3V3LED9,203.675,-106.1,0.0,bottom
BOOTJUMPER1,197.25,-107.437397,90.0,top
C1,192.65,-105.437397,180.0,top
C10,187.35,-94.147397,90.0,top
C11,185.32,-104.387397,270.0,top
C12,185.86,-107.527397,90.0,top
C13,189.8,-107.497397,270.0,top
C14,180.475,-89.507397,180.0,top
C15,180.455,-90.607397,180.0,top
C16,193.175,-90.037397,0.0,top
C17,237.394999,-67.160113,0.0,top
C18,234.617144,-67.804489,180.0,top
C19,237.394998,-68.080113,0.0,top
C2,195.57,-99.887397,0.0,top
C20,234.804999,-72.875113,180.0,top
C21,239.575,-77.499621,270.0,top
C22,239.59,-75.42,90.0,top
C23,231.214998,-74.500113,270.0,top
C24,230.294999,-74.500113,270.0,top
C25,234.75,-87.587398,90.0,top
C26,233.65,-87.567397,90.0,top
C27,217.94,-88.079795,270.0,top
C28,220.439999,-88.079794,270.0,top
C29,239.89,-93.88,90.0,top
C3,196.26,-105.087397,180.0,top
C31,222.21,-94.55,90.0,top
C33,224.47,-94.57,90.0,top
C34,224.9,-87.81,270.0,top
C35,228.45,-81.487397,90.0,top
C36,219.805,-95.73,180.0,top
C37,154.17,-87.387397,0.0,top
C39,158.722287,-70.79011,90.0,top
C4,192.65,-104.387397,180.0,top
C40,216.93,-77.33,270.0,top
C48,167.2,-78.517398,90.0,top
C49,162.42,-79.642398,180.0,top
C5,192.67,-103.337397,180.0,top
C50,161.765,-78.142399,270.0,top
C51,157.72,-80.837397,180.0,top
C52,162.8,-82.067399,90.0,top
C53,160.6,-82.067398,90.0,top
C54,167.5,-82.917398,90.0,top
C55,158.75,-73.937399,0.0,top
C56,165.400001,-77.617398,180.0,top
C57,165.6,-75.717398,180.0,top
C58,157.69,-82.907398,180.0,top
C59,157.7,-81.847398,180.0,top
C6,191.9,-101.787397,270.0,top
C60,156.312287,-68.56011,180.0,top
C61,165.222287,-67.16511,90.0,top
C62,160.322287,-68.490111,180.0,top
C63,159.622287,-67.01011,270.0,top
C64,160.822287,-70.79011,90.0,top
C65,156.752287,-63.17011,0.0,top
C66,165.522287,-71.68511,90.0,top
C67,163.422287,-66.19011,180.0,top
C68,156.292288,-70.62011,180.0,top
C69,156.312287,-69.57011,180.0,top
C7,191.04,-104.447397,270.0,top
C70,163.622287,-64.39011,180.0,top
C73,204.289999,-81.337397,270.0,top
C74,205.389999,-81.317397,270.0,top
C75,214.39,-77.33,270.0,top
C76,210.39,-87.437397,270.0,top
C77,208.49,-91.04,0.0,top
C78,233.85,-93.212397,90.0,top
C8,198.18,-105.087397,0.0,top
C80,215.789999,-82.917397,90.0,top
C81,153.9,-82.637397,90.0,top
C82,154.3,-81.087397,0.0,top
C83,213.489999,-82.997397,90.0,top
C84,152.33,-81.937397,0.0,top
C85,218.389999,-82.942397,90.0,top
C86,196.169999,-72.967397,180.0,top
C87,198.965849,-77.512397,90.0,top
C88,192.290849,-72.612397,180.0,top
C9,190.04,-104.457397,270.0,top
CANRXLED1,180.61,-92.474897,270.0,top
CANTXLED1,180.61,-87.542397,90.0,top
D1,196.2125,-90.037397,0.0,top
D2,177.5,-76.337397,270.0,top
D3,186.859999,-74.767397,90.0,top
D4,195.082498,-85.967397,0.0,top
ENJUMPER1,197.3,-102.737397,90.0,top
Firing1,181.0425,-77.81,180.0,top
IC1,165.449999,-82.092398,270.0,top
IC2,159.04,-78.147398,90.0,top
IC3,157.222287,-65.80011,90.0,top
IC4,163.447287,-70.81511,270.0,top
J1,220.7,-67.967397,0.0,top
J12,188.739999,-66.117397,180.0,top
J13,208.475,-100.442397,0.0,top
J14,125.06,-73.307397,180.0,top
J15,125.08,-88.397397,180.0,top
J16,138.3,-103.167397,270.0,top
J17,153.69,-103.147397,270.0,top
J18,168.94,-103.177397,270.0,top
J2,178.83,-65.39,180.0,top
J3,232.2,-103.727397,270.0,top
J4,221.709996,-103.727397,270.0,top
J5,204.699999,-65.507397,90.0,top
J7,148.34,-68.807397,90.0,top
JP1,190.81,-92.877397,0.0,top
JP2,198.78,-100.16,180.0,top
